subject_id,segment_id,label,timepoint,ch_0,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15
1,0,0,0,-0.1538,0.4181,0.1424,0.3979,0.2095,-0.0285,-0.3661,0.0436,-0.1271,-0.0762,-0.0445,0.176,0.2924,-0.3442,0.0287,0.3041
1,0,0,1,1.0604,0.7162,0.8775,0.932,0.5783,0.799,0.1948,0.6076,0.8643,0.4902,0.8526,0.351,0.2904,0.6091,0.4931,0.7485
1,0,0,2,1.5918,1.3378,1.4174,1.4808,1.1911,1.092,1.4593,1.2266,1.3877,1.4839,1.4861,1.558,1.2095,1.1711,1.2271,1.053
1,0,0,3,1.7949,2.0001,1.692,1.9206,1.9046,1.7836,2.1088,2.2511,2.16,2.0174,1.8704,2.1287,2.0498,1.9623,1.9125,2.0468
1,0,0,4,2.0298,2.271,2.0841,2.5397,2.1505,2.1512,2.2629,2.1495,2.3934,1.9363,2.373,1.7712,2.1024,2.3394,2.4566,2.0486
1,0,0,5,2.3051,1.6679,2.0395,1.865,2.1569,1.7886,2.1699,2.2145,2.5306,2.1717,2.1294,1.9899,2.2878,2.3558,2.6021,2.0037
1,0,0,6,1.8961,2.6227,2.2505,2.3323,2.1237,1.9324,2.1858,2.2609,1.8292,1.7847,2.0864,2.2304,1.8329,1.8873,2.047,2.2792
1,0,0,7,1.7031,1.7503,1.8903,1.7872,1.7197,1.7214,2.2036,1.8224,1.9362,1.9008,1.84,2.1449,2.1498,1.8603,1.697,1.833
1,0,0,8,1.3635,1.3625,1.4024,1.5682,1.7958,1.6441,1.441,1.5698,1.5821,1.4919,1.5688,1.7976,1.4784,1.5138,1.3768,1.5072
1,0,0,9,1.4019,1.1483,1.1028,0.9753,1.0102,0.9097,1.2844,1.2695,1.2636,1.1539,1.3568,1.2348,0.9416,0.6656,0.9966,0.6129
1,0,0,10,1.0504,0.8445,0.9205,0.7327,1.0558,0.8295,0.5384,0.8029,0.8301,1.0741,0.7258,0.7977,1.0668,0.8875,0.84,0.7897
1,0,0,11,0.3791,0.4143,0.3229,0.7048,0.3972,0.4215,0.3721,0.4838,0.5387,0.1922,0.1761,0.2441,0.6188,0.4966,0.4781,0.0957
1,0,0,12,0.2132,0.0148,0.0399,0.0683,-0.0303,0.4235,0.2999,-0.1157,0.1316,0.0722,0.1047,0.0914,-0.0025,-0.0045,-0.1589,-0.0411
1,0,0,13,0.1434,-0.0161,0.1618,-0.0397,-0.0893,-0.1242,0.0664,0.0902,0.3108,-0.0204,-0.2602,-0.4904,-0.222,-0.5421,0.0197,0.0848
1,0,0,14,-0.1653,-0.6868,-0.4223,-0.2604,-0.7684,-0.5084,-0.2264,-0.5284,0.065,-0.6263,-0.5859,-0.5527,-0.1569,-0.563,-0.3024,-0.583
1,0,0,15,-0.6963,-0.5783,-0.5251,-0.6965,-0.566,-0.8138,-0.8384,-0.6749,-0.5378,-0.5847,-0.3825,-1.0681,-0.4527,-0.5323,-0.5484,-0.5755
1,0,0,16,-0.7332,-1.0422,-0.8213,-0.7214,-0.8811,-0.8991,-0.8443,-0.8477,-1.257,-1.048,-1.1334,-1.2878,-0.8296,-1.0808,-0.9987,-1.066
1,0,0,17,-1.1062,-1.1559,-1.1664,-1.1649,-1.0228,-1.357,-1.0421,-0.9269,-1.578,-1.3999,-1.2854,-1.3047,-1.2271,-1.334,-1.4716,-1.3621
1,0,0,18,-1.8355,-1.3988,-1.7546,-1.6424,-1.7184,-1.6935,-1.8036,-1.6817,-1.3902,-1.2813,-1.8581,-1.3694,-1.7793,-1.6023,-1.6966,-1.6031
1,0,0,19,-2.3574,-2.187,-1.5163,-2.0006,-1.9243,-2.1294,-1.9752,-1.6084,-2.1663,-1.6694,-2.3764,-1.844,-1.7547,-1.8353,-1.8076,-1.742
1,0,0,20,-2.1447,-2.1301,-1.6388,-1.9986,-1.7178,-2.1936,-2.2677,-1.8589,-1.7351,-2.212,-2.0305,-2.0307,-2.4066,-1.9583,-2.3223,-1.9498
1,0,0,21,-2.3996,-2.3672,-2.3525,-2.0594,-2.3513,-2.216,-2.2199,-2.1551,-2.1163,-2.0503,-1.6066,-1.9544,-2.2211,-1.9202,-2.3874,-2.1931
1,0,0,22,-1.8459,-1.99,-1.7682,-1.9623,-1.9653,-1.8086,-2.5096,-2.2541,-1.8253,-2.1708,-2.1925,-1.7327,-2.0621,-1.9725,-1.7739,-1.7835
1,0,0,23,-1.3954,-1.6534,-1.7115,-1.6464,-1.543,-1.3312,-1.5552,-1.5929,-1.6599,-1.6515,-1.8367,-1.3177,-1.4694,-1.7087,-1.6422,-1.8334
1,0,0,24,-0.9951,-1.118,-1.2226,-0.9304,-1.0857,-0.8432,-0.5563,-0.8618,-1.0434,-0.8793,-0.8931,-1.1004,-0.8586,-0.9789,-0.8927,-0.9946
1,0,0,25,-0.3096,-0.3338,-0.2787,-0.2941,0.09,-0.5056,-0.6375,-0.371,-0.2189,-0.317,-0.3265,-0.1994,-0.133,-0.3434,-0.2918,-0.137
1,0,0,26,0.5166,0.4206,0.6168,0.6485,0.9374,0.3377,0.3516,0.492,0.5062,0.3309,0.638,0.0415,0.7249,0.068,0.2746,0.4126
1,0,0,27,0.982,1.2253,1.1314,1.0069,1.297,1.0066,1.0492,1.018,1.0228,0.9701,1.1964,1.3298,1.2717,1.2319,1.5095,1.3824
1,0,0,28,1.6721,1.7452,1.5884,1.6137,1.5496,1.7655,1.3956,1.7468,1.8249,1.6131,1.5831,1.6295,1.6815,1.6221,1.6267,1.6959
1,0,0,29,1.7448,2.3454,2.3631,2.1041,2.0548,2.0827,1.8506,1.9963,2.1711,2.0207,1.896,2.5297,2.2158,1.7569,1.5376,2.254
1,0,0,30,2.1916,2.1409,2.2967,2.4628,2.5534,1.8407,2.6324,2.1058,1.9706,2.3102,2.0477,2.0896,2.0649,2.2387,2.2341,2.2724
1,0,0,31,2.2586,2.0532,2.2944,2.2156,2.5025,2.1953,1.825,2.3938,2.1358,2.3154,2.0293,2.2007,2.2391,1.9881,2.3121,2.5213
1,0,0,32,1.9116,2.0635,1.7842,1.8971,1.8295,1.9613,1.527,1.7957,2.0488,2.508,1.7867,1.4375,2.1206,1.9951,2.0232,1.8992
1,0,0,33,1.4648,1.4852,0.974,1.483,1.8113,1.6932,1.9683,1.2209,1.8177,1.6677,1.4478,1.4865,2.0652,1.6953,1.5588,1.4605
1,0,0,34,1.1515,1.3295,1.2498,1.1412,1.0705,0.9605,1.3065,1.6384,1.1413,1.026,1.1602,1.2247,1.4161,1.4709,1.2036,1.4212
1,0,0,35,0.882,0.8192,0.5462,1.0432,0.8854,1.3029,0.9928,0.5154,0.7922,0.6258,1.1002,1.0026,0.7417,0.7156,1.1019,0.9761
1,0,0,36,0.5768,0.584,0.5911,0.7193,0.4852,0.6632,0.4148,0.7016,0.5064,0.5144,0.3176,0.2081,0.4854,0.5834,0.4794,0.5496
1,0,0,37,-0.1021,0.0071,0.1209,0.0214,0.3463,0.2044,0.2753,0.5609,0.1209,0.0232,0.3296,0.4696,0.1628,0.3146,0.3387,0.2695
1,0,0,38,0.225,-0.4851,-0.2551,0.3368,-0.2024,-0.0393,0.0164,0.1453,-0.1483,0.0965,0.0981,0.1792,-0.0726,-0.0628,0.2227,-0.0482
1,0,0,39,-0.3312,-0.2446,-0.2721,-0.5457,0.1819,-0.3196,-0.4419,-0.1684,-0.2148,-0.4643,-0.7623,-0.588,-0.6159,0.0093,-0.3398,-0.0568
1,0,0,40,-0.5418,-0.8271,-0.3317,-0.6005,-0.4425,-1.0298,-0.1643,-0.33,-0.5393,-0.7553,-0.9413,-0.4526,-0.5693,-0.1904,-0.4184,-0.7687
1,0,0,41,-0.7033,-1.1175,-0.703,-0.783,-0.4888,-0.7389,-0.9966,-0.9225,-0.9991,-0.8955,-0.7599,-0.8344,-0.668,-1.1936,-0.8575,-1.1461
1,0,0,42,-1.2996,-1.6715,-1.2277,-1.2343,-0.8348,-1.2975,-0.9524,-1.2083,-0.9659,-1.1581,-1.0253,-0.9514,-1.4683,-1.6047,-0.9526,-1.3284
1,0,0,43,-1.6294,-1.6467,-1.6321,-1.5449,-1.7442,-1.4137,-1.9168,-1.5545,-1.4645,-1.8011,-1.4504,-1.4508,-1.4341,-1.2485,-1.5446,-1.7959
1,0,0,44,-1.3206,-1.8502,-2.2104,-1.9699,-1.999,-1.902,-1.8534,-1.6428,-2.0034,-1.503,-1.4512,-1.9191,-2.0057,-1.5826,-1.9703,-1.8068
1,0,0,45,-1.8965,-2.362,-1.8862,-2.2181,-2.233,-1.9488,-2.2462,-1.8332,-1.9728,-2.2233,-2.0321,-1.9074,-2.2369,-1.9482,-2.1638,-2.1479
1,0,0,46,-2.2725,-2.365,-2.0679,-2.0781,-1.8548,-2.172,-2.3279,-2.0524,-1.9468,-1.8913,-2.4354,-2.159,-1.9832,-1.8013,-1.7388,-1.8525
1,0,0,47,-2.2718,-2.2484,-2.1133,-2.2112,-2.0752,-2.1326,-2.2764,-2.0469,-2.3163,-1.8063,-1.9697,-1.9038,-2.1878,-1.6294,-2.0444,-2.1398
1,0,0,48,-1.8884,-1.7896,-1.5505,-1.7355,-1.804,-1.7505,-1.6199,-1.9018,-1.8282,-1.7031,-1.5259,-1.4099,-1.8398,-1.7653,-1.7168,-1.7819
1,0,0,49,-1.1395,-1.327,-1.0374,-1.1574,-1.1323,-1.1241,-1.1467,-0.9871,-1.254,-1.1404,-1.0016,-1.6762,-1.4541,-1.1091,-1.1788,-1.2623
1,0,0,50,-0.5038,-0.5098,-0.4574,-0.74,-0.2658,-0.4846,-0.416,-0.5643,-0.392,-0.3491,-0.7993,-0.3733,-0.5216,-0.6113,-0.8582,-0.68
1,0,0,51,0.4603,0.2988,-0.0581,0.0645,0.1422,0.2691,-0.2941,0.2679,0.3436,0.1534,0.0267,0.1816,-0.0,0.1371,0.2399,-0.0253
1,0,0,52,0.8069,1.1996,0.8696,0.8481,0.9697,0.6499,0.5957,0.749,1.1375,0.729,1.0225,1.0067,1.1165,1.0405,1.0332,0.8986
1,0,0,53,1.3337,1.5538,1.5666,1.1599,1.6666,1.7087,1.6674,1.5728,1.4028,1.3777,2.1041,1.5199,1.7165,1.5129,1.2425,1.5596
1,0,0,54,1.899,1.8127,2.1943,1.7763,1.8889,1.7855,2.0615,1.6927,1.5453,1.6428,2.0098,2.1454,2.0597,2.1622,2.172,1.9441
1,0,0,55,2.1634,1.9806,2.1335,1.9213,2.3017,2.0953,2.1322,2.2857,2.3277,2.407,2.4288,2.132,1.8508,2.4969,2.3075,2.3794
1,0,0,56,2.631,2.0926,2.268,2.1926,1.9291,2.1845,1.9534,2.3442,2.215,2.4932,2.0396,2.3207,1.9327,2.1636,2.3911,2.1413
1,0,0,57,2.0408,1.9039,2.1727,1.8209,2.3365,2.2557,1.9723,2.0931,2.1693,2.124,2.2815,2.1656,2.2696,2.1639,2.4395,1.8691
1,0,0,58,1.9414,1.7728,1.9249,1.9441,2.3955,1.7906,2.0609,2.0816,1.6059,1.8554,1.7314,1.8736,1.8006,2.0247,1.7914,2.1002
1,0,0,59,1.5295,1.3493,1.7717,1.4474,1.6362,1.2838,1.54,1.3998,1.8765,1.2974,1.1459,1.8314,1.8699,1.374,1.316,1.4385
1,0,0,60,1.1881,0.6788,1.2039,0.7928,0.7235,1.1692,1.1214,1.0519,1.0585,1.0606,1.2559,0.8749,1.143,1.0526,0.9951,0.9662
1,0,0,61,0.6968,0.5581,0.5871,0.7704,0.6153,0.3047,1.0024,0.3665,0.5425,0.8578,0.4713,0.6288,0.4801,0.5567,0.5663,1.0296
1,0,0,62,0.1703,0.037,-0.1499,0.1045,0.4383,0.3102,0.1464,0.2605,0.0867,0.0191,0.4085,0.3327,0.5129,0.0166,0.034,0.2883
